Model,Family,N Classes,N Test,Accuracy,Macro F1,Weighted F1,Params,Trainable,Layers,Mem (MB),Train (s),Infer (s),Infer/1k (ms),Throughput/s
MARBERT · Schema B: pure,Transformer,3,645,0.6698,0.6692,0.6767,163435782,592131,12.0,653.75,232.03,,,
MARBERT LoRA v2 (Sec 13),Transformer,3,1937,0.7403,0.6496,0.7574,163435782,592131,12.0,653.75,685.92,14.4941,7482.75,133.6
MARBERT LoRA (Sec 12),Transformer,3,1937,0.7166,0.6257,0.7356,163435782,592131,12.0,653.75,503.72,14.4327,7451.04,134.2
MARBERT · Schema A: merged,Transformer,3,1939,0.6859,0.6212,0.7096,163435782,592131,12.0,653.75,679.97,,,
MARBERT · Schema D (Sec 16),Transformer,4,945,0.6307,0.6183,0.6356,163437320,592900,12.0,653.76,413.56,7.5416,7980.51,125.3
MARBERT r=32+Aug (Sec 14),Transformer,3,1937,0.6933,0.6156,0.7161,164025606,1181955,12.0,656.11,982.83,14.5784,7526.29,132.9
MARBERT · Schema C: 4-class,Transformer,4,1939,0.6034,0.5309,0.6326,163437320,592900,12.0,653.76,706.09,,,
SVM + Stemmed TF-IDF,Classical (SVM),3,1937,0.7078,0.5065,0.7023,30003,30003,,0.24,0.64,0.0002,0.12,8349811.8
SVM · Schema A: merged,Classical (SVM),3,1939,0.7133,0.484,0.6994,30003,30003,,0.24,5.35,0.0208,10.74,93122.4
SVM + Back-Translation,Classical (SVM),3,1937,0.7083,0.4833,0.6961,30003,30003,,0.24,3.36,0.0002,0.11,8927875.7
SVM + TF-IDF,Classical (SVM),3,1937,0.6954,0.4806,0.6898,30003,30003,,0.24,0.48,0.0002,0.12,8384279.5
SVM · Schema B: pure,Classical (SVM),3,645,0.5271,0.4762,0.5153,14598,14598,,0.12,0.12,0.0078,12.1,82618.0
SVM · Schema D (Sec 16),Classical (SVM),4,945,0.4995,0.463,0.4953,320004,320004,,2.56,1.12,0.0011,1.19,837089.2
CNN,Deep Learning,3,1937,0.5978,0.455,0.6257,1038915,1038915,5.0,4.16,63.0,0.1851,95.55,10466.0
SVM + SMOTE,Classical (SVM),3,1937,0.6407,0.4509,0.6513,30003,30003,,0.24,0.98,0.0002,0.11,9306262.1
LSTM,Deep Learning,3,1937,0.5937,0.4483,0.6233,1042435,1042435,4.0,4.17,74.79,0.276,142.47,7018.9
RF + FastText,Classical,3,1937,0.6866,0.4311,0.6734,461658,461658,,40.77,26.18,0.0648,33.45,29897.0
NB + TF-IDF,Classical,3,1937,0.7408,0.4235,0.6931,30000,30000,,0.48,2.81,0.0007,0.35,2869786.9
SVM · Schema C: 4-class,Classical (SVM),4,1939,0.6436,0.4101,0.631,40004,40004,,0.32,0.38,0.0237,12.24,81693.5
RF + Word2Vec,Classical,3,1937,0.683,0.4033,0.6611,518984,518984,,45.82,21.41,0.0641,33.11,30206.5
RF + TF-IDF,Classical,3,1937,0.7362,0.38,0.6736,301712,301712,,26.59,27.65,0.165,85.19,11738.4
RNN,Deep Learning,3,1937,0.5312,0.3738,0.5809,1029699,1029699,4.0,4.12,124.67,0.8584,443.17,2256.5
